question_id,question_text
3,"1. Cost for a new Facebook customer acquisition. 2. How would you do a database migration? 3. How would you improve the LinkedIn home page?"
4,"55% of users do not complete the application from the application page to the submission page. Why do you think this is the case?"
5,"A $5 discount coupon is given to N riders. The probability of using a coupon is P. What is the expected cost for the company?"
6,"A competitor is gaining market share. How would you investigate why?"
7,"A cross-functional team which your feature delivery is dependent on is not working at the expected pace. How would you handle this?"
8,"A discount coupon is given to N riders. The probability of using a coupon is P. What is the probability that one of the coupons will be used?"
9,"A key metric is declining—what would you investigate first and how would you prioritize what to build?"
10,"A knapsack has a maximum capacity C and there are n items each with weight w[i] and value v[i]. Maximize the knapsack value without exceeding capacity."
11,"A large enterprise customer wants to integrate Sierra, what would you build first and why?"
12,"A leading Canadian grocery chain is considering opening its first store in Montreal. Should they? If yes, what should be the ratio of self-checkout kiosks to cashier counters?"
13,"A newly launched mobile app has a 25% drop-off during sign-up. How would you investigate the issue?"
14,"A PM at Google asked you to describe the distribution of daily search queries per user. How would you describe it?"
15,"A PM at Meta asked you to describe the distribution of daily minutes spent on Facebook per user. How would you describe it?"
16,"A potential client asks for a guarantee on a feature’s delivery date. Your team hasn't considered this feature before. What would you do?"
17,"A user advocacy group raises concerns about accessibility for individuals with hearing disabilities. What are some product improvements for Facebook Live and Videos, and how would you define succes..."
18,"Abbreviate an array of strings."
19,"After launching a new recommendation engine, how would you measure its impact on revenue?"
20,"Airbnb made a feature to increase business travel. How would you measure its success?"
21,"Amazon has noticed that many merchants list products but do not deliver them. How would you solve this problem?"
22,"Amazon orders are down 25% - what do you do?"
23,"Among the following PM traits, which is your greatest strength and which is your greatest weakness: working with engineering, execution, ideation and visioning, working with design, working with me..."
24,"An amusement park has a ride with a long queue that is a growing concern. How would you address this issue?"
25,"An engineer wants to make a major change to the ranking algorithm. How would you evaluate it?"
26,"An important feature of a product fails on the release day at a conference. What would you do?"
27,"Analyze Monthly Customer Transactions"
28,"Apply the quadratic formula to a sorted array such that the resulting array is still sorted."
29,"Are you familiar with AI prototyping? Which tools or platforms have you used, and what has your experience been with them so far?"
30,"Array Manipulation: Given an array, implement functions to perform add, remove, update operations and return the resulting array."
31,"As a Facebook PM, what would you do to design a product for hobbies?"
32,"As a Google PM, how would you design a solution to enhance financial savviness for users?"
33,"As a Home Page PM at Netflix, how would you measure the success of your product?"
34,"As a leader at Spotify, how would you triple its revenue in the next three years?"
35,"As a leader at Target, how would you increase revenue?"
36,"As a manager, how do you handle trade-offs?"
37,"As a member of the product team at Scribe who receives user research indicating some users use the platform to build help centers, explain how you would assess building end-to-end help center funct..."
38,"As a PM at a teleconferencing company, design a product for working from home."
39,"As a PM at a vending machine company, design a new line of vending machines for hotels and motels."
40,"As a PM at Airbnb, how would you increase bookings?"
41,"As a PM at Amazon, how would you decide if the company should enter the smartphone market?"
42,"As a PM at DoorDash, define some goals and metrics for the business."
43,"As a PM at Exponent, how would you design a system to prevent multiple users from sharing the same account or encourage unique accounts?"
44,"As a PM at Meta launching a new video conference product, define the success metrics."
45,"As a PM at Meta, design a product for making restaurant reservations."
46,"As a PM at Meta, how would you make users feel less guilty about using Instagram while also increasing revenue?"
47,"As a PM at Meta, what key metrics would you track for Meta's Workplace Chat?"
48,"As a PM at Meta, why is it critical to address ads that violate community guidelines and regulations? What metrics would you use to track success in this area?"
49,"As a PM at Microsoft, design a B2B customer support product for them."
50,"As a PM at Netflix, design something for kids."
51,"As a PM at Open Table, how would you resolve their biggest booking experience issue?"
52,"As a PM at Reddit, how would you develop a strategy to monetize end consumers?"
53,"As a PM at Slack, how would you redesign the product to enter the education sector?"
54,"As a PM at Uber in 2015, how would you decide whether to implement cash payments?"
55,"As a PM at Uber, what key metrics would you track to measure its success in a new city?"
56,"As a PM at Zomato, how would you decide if Zomato should integrate with Amazon Alexa?"
57,"As a PM for a gaming console, why would you decide to build the next-generation console, and how would you measure its success?"
58,"As a PM for an automotive company interested in exploring the generative AI space, how would you evaluate whether this technology is suitable and beneficial for the business?"
59,"As a PM for an elevator company, how would you design new features to adapt your elevators for skyscrapers, distinguishing them from competitors?"
60,"As a PM for autonomous land-based vehicles at Google, how would you decide on the next market segment and geography? Assume Waymo does not exist."
61,"As a PM for Instacart, what potential issues do you foresee after a customer places an order?"
62,"As a PM for Instagram Shops, how would you increase the number of transactions?"
63,"As a PM for Instagram stories, how would you set the goal for the team?"
64,"As a PM for Jio Mart, how would you pilot drone delivery?"
65,"As a PM for JPMorgan Chase's Payments Developer Portal, design a new feature to improve customer adoption."
66,"As a PM for Mastercard, design a product for restaurants to switch to a purchase order system that reduces labor costs."
67,"As a PM for Meta, how would you measure the success of launching a job marketplace?"
68,"As a PM for Netflix, how would you increase watch time on TVs?"
69,"As a PM for Spotify Podcasts, what success metrics would you define? If engagement on Spotify Music is down while engagement on Spotify Podcasts is up, what actions would you take?"
70,"As a PM for the health team at Meta, design a product for tissue donation."
71,"As a PM for TikTok, design the user journey for third-party services (e.g., restaurants and shops) integrated into the app."
72,"As a PM for Uber when it was a ride-hailing app, would you expand into Uber Eats?"
73,"As a PM for Zepto, how would you develop a strategy to increase the average order value per user?"
74,"As a PM, how do you work with users?"
75,"As a PM, how do you work with your engineering team?"
76,"As a PM, how would you name conference rooms for a new office so newcomers can easily navigate?"
77,"As a Product Manager at Clipboard Health, how would you adjust Lyft's driver payments to maximize net revenue over 12 months?"
78,"As a product manager at OpenAI, build an enterprise product."
79,"As a Product Manager at TikTok, how would you address user concerns regarding the platform's algorithms being excessively addictive?"
80,"As a Product Manager for a calendar application working on better error handling, how would you prepare this user story for the backlog? 'As a user, I want to see when my changes haven't been synch..."
81,"As a product manager for a meditation app for kids with a 3 to 5 star average rating in the Play Store, how would you improve that rating?"
82,"As a Product Manager for Clickup, analyze the scenario of low return rate of new users and propose solutions to improve metrics such as return rate, average new user sign-up, and daily average usag..."
83,"As a product manager for Meta, design a product for volunteers."
84,"As a Product Manager for Meta, what product would you create to address climate change?"
85,"As a product manager for Uber Eats, what goals do you set?"
86,"As a product manager ready for launch, what is a good go-to-market strategy?"
87,"As a Product Manager, how would you measure the success of Toshiba's self-checkout systems used by millions of grocery store shoppers daily?"
88,"As a product manager, what KPIs matter most to you?"
89,"As a product marketing manager, how would you launch the new waitlist appointment feature for a salon? What process would you follow?"
90,"As a TPM, how would you handle a project with unchanged deliverables but a cut in the time period by half?"
91,"As a VC offering you $20M to build any technology-enabled product/service, how would you get started?"
92,"As a YouTube PM, how would you evaluate the suggestion to develop a tool for content creators to generate ideas with scripts automatically?"
93,"As an Admin, what key metrics would you consider crucial for evaluating Uber's success in a newly launched city?"
94,"As an OpenTable PM, how would you prioritize improving the worst post-reservation experiences?"
95,"As an Uber PM, how would you increase revenue for Uber?"
96,"As Google, how would you disrupt the movie industry?"
97,"As part of the Netflix PM team, how would we investigate the issue of one million active subscribers not logging into the platform?"
98,"As part of the Netflix PM team, how would you investigate the issue of 1 million inactive but paying users?"
99,"As part of the Udemy product team, write 2 to 3 agile user stories for a new feature allowing learners to submit and view short videos under 2 minutes in courses."
100,"As Robinhood, how would you disrupt the mortgage industry?"
101,"As the CEO of a healthtech startup, what would you create?"
102,"As the CEO of Google, should the company continue, slow down, maintain, or ramp up investments in the Pixel handset line?"
